name,address,owner,wattage,2018,total_money,end_year,status,plant_lat,plant_lng,dams_lat,dams_lng
  S?p Vi?t,"xã S?p V?t, huyên Yên Châu",Công ty c? ph?n th?y ?i?n S?p Vi?t,23.4,70.37,598, 2/2017,,2332890.244,538811.886,2330241.542,535686.211
  Keo B?c,"xã N?m M?n, huy?n Sông Mã",Công ty TNHH MTV khai thác công trình th?y l?i S?n La,1.8,13.8,60, 2/2017,,2333874.57,456965.805,2332656.605,455854.365
  Xím Vàng 2,"Xã Xím Vàng, huy?n B?c Yên",Công ty C? ph?n th?y ?i?n Xím Vàng,18,85.4,527, 9/2017,,2353180.915,533229.366,2357243.104,535984.737
  ?ông Khùa,"Xã Tú Nang, huy?n Yên Châu",Công ty CP thu? ?i?n To Buông,2.1,7,42, 12/2017,,2318861.437,543891.174,2318457.513,543484.946
  S? Vin,"Xã M??ng Tè, huy?n Vân H?",Công ty ?i?n l?c S?n La,2.8,7.1,81, 5/2018,,2312224.673,590900.441,2312452.558,589821.242
 N?m Pia 1,"Xã Chi?ng Hoa, huy?n M??ng La",Công ty C? ph?n thu? ?i?n N?m Pia,6.8,22.1,208, 6/2018,,2370263.057,513047.184,,
 M??ng Sang 2,"Xã M??ng Sang, huy?n M?c Châu",Công ty C? ph?n ??u t? và Xây l?p Sông ?à,4.6,0,160.1,  6/2018,,2304717.269,560234.014,2303088.148,561289.452
 N?m Trai 4,"Xã Hua Trai, huy?n M??ng La",Công ty c? ph?n ??u t? th?y ?i?n Hua Trai,12,6.68,363.3,  10/2018,,,,2395407.864,499053.571
N?m Công 5,"Xã Hu?i M?t, huy?n Sông Mã",Công ty c? ph?n th?y ?i?n N?m Công S?n La,4,1.3,135.5,  11/2018,,2327017.813,470650.323,2327236.841,469578.166
N?m Chi?n 3,"Chi?ng San, M??ng La",Công ty C? ph?n ??u t? & Phát tri?n ?i?n Tây B?c ,3.1,0.2,102.6, 12/2018,,2375955.318,508200.397,,
M??ng Hung,"M??ng Hung, Sông Mã",Công ty C? ph?n th?y ?i?n Pá Chi?n,24,93.56,735.9,2019,,2320782.084,480739.3,,
N?m Chim 1B,"Xã Hang Chú, huy?n B?c Yên",Công ty C? ph?n n?ng l??ng Sông Lam S?n LA,10,"38,4",295,2020,,2358493.816,531054.441,2361329.35,531103.758
N?m Hóa 1,"Xã M??ng Bám, huy?n Thu?n Châu",Công ty C? ph?n ??u t? thu? ?i?n An Pha,18,72,752,2019,?ang tri?n khai,,,2368817.537,438372.53
Xuân Nha,"Xuân Nha, Vân H?",Công ty c? ph?n d?ch v? và k? thu?t Th?ng Long,4,14.9,"140,4",2020,?ang tri?n khai,2291752.104,578436.539,2292562.016,577078.703
Phiêng Côn,"Phiêng Côn, B?c Yên",Công ty C? ph?n kinh doanh Xi M?ng Mi?n B?c,14,45.2,468.5,2020,?ang tri?n khai,,,2334904.826,541330.15
Ng?c Chi?n,"Xã Ng?c Chi?n, huy?n M??ng La",Công ty TNHH Xây d?ng và Th??ng m?i Ti?n Anh,12,41.407,398.3,2020,?ang tri?n khai,2388159.134,519679.094,2388195.569,523849.682
H?ng Ngài,"Xã H?ng Ngài, huy?n B?c Yên",Công ty C? ph?n Noong Phai,8.5,27.2,306.6,2020,?ang tri?n khai,2342295.026,552511.459,2344567.858,552368.341
M??ng Bang,"Xã M??ng Bang, huy?n Phù Yên",Công ty C? ph?n n?ng l??ng ?ông Á,16,64,432,2020,?ang tri?n khai,2331796.773,587981.738,2335003.455,583635.635
M??ng Sang 3,"Xã M??ng Sang, huy?n M?c Châu",Công ty C? ph?n tr??ng phúc l?c tây b?c,6,22.5,199.9,2020,?ang tri?n khai,2306157.61,559345.381,2306533.329,559150.653
Su?i S?p 2A ,"Xã Phiêng Ban, huy?n B?c Yên",Công ty TNHH Xuân Thi?n S?n La,49.6,170.9,1655,2020,?ang tri?n khai,2348553.628,552117.137,,
Chi?ng Muôn,"Xã Chi?ng Muôn, huy?n M??ng La",Công ty C? ph?n n?ng l??ng DTK,12,41.8,418,2020,?ang tri?n khai,2379446.759,509847.589,2380278.672,512120.448
N?m Pàn 5,"Xã N?m Bú, huy?n M??ng La",Công ty C? ph?n n?ng l??ng d?u khí toàn c?u,28,138,848,2021,?ang tri?n khai,2364893.435,500435.044,2358923.4,500478.209
Háng ??ng B,"Xã Háng ??ng, huy?n B?c Yên",Công ty TNHH Xuân Thi?n S?n La,28,95.3,952,2021,?ang tri?n khai,2354757.226,557160.758,2358483.019,558444.463
N?m Trai 3,"Xã Hua Trai, huy?n M??ng La",Công ty C? ph?n th?y ?i?n Hùng Th?y,9,28.8,360,,T?m d?ng thi công ,,,2397065.691,502391.164
N?m Công 3A,"Xã Hu?i M?t, huy?n Sông mã",Công ty C? ph?n th?y ?i?n S?ng Mã S?n La,4.5,14.7,162.2,,?ang l?p TKKT,,,2325694.44,466007.766
Su?i Chi?n,"Xã Ng?c Chi?n, huy?n M??ng La",Công ty C? ph?n ??u t? và phát tri?n ?i?n Yên Bái,5,17,170,,?ang l?p TKKT,,,2388496.9,519247.242
Bó Sinh,"Xã Bó Sinh, huy?n Sông Mã",Công ty c? ph?n ??u t? n?ng l??ng xây d?ng và th??ng m?i Hoàng S?n,24,81.6,816,,?ang l?p d? án ??u t?,,,2353226.443,444915.059
Quang Huy,"Xã Quang Huy, huy?n Phù Yên",Công ty C? ph?n phát tri?n n?ng l??ng Vi?t C??ng,12,40.8,420,,?ang l?p d? án ??u t?,2355292.646,568428.641,2358127.641,569742.392
M??ng L?m,"Xã M??ng L?m, huy?n Sông Mã",Công ty c? ph?n ??u t? xây d?ng h? t?ng và giao thông Intracom,18,"65,2",612,,Ch?a c?p ch?ng nh?n ??u t?,,,2348614.55,449345.843
